-------------------1	-------------------
-corrido	-corrido
-Exf-«per	-exf-per
(<-lTcn	-ltcn
-ma-Ç0CB	-ma-ccb
-vicção	-viccao
aahio	aahio
aasumptoà	aasumptoa
absolutamentc	absolutamentc
absolutamente	absolutamente
accu-np	accu-np
achar-se	achar-se
achfido	achfido
acicncia	acicncia
acomoanheis	acomoanheis
aconteça	aconteca
acto	acto
(acto	acto
actos	actos
ad-mittida	ad-mittida
agi-tão	agi-tao
aiBumptos	aibumptos
aicel	aicel
aífirma	aifirma
alcançando	alcancando
alcançar	alcancar
ama-	ama-
amaahí	amaahi
amarrai-o	amarrai-o
ãmparciHimente	amparcihimente
analphabetos	analphabetos
andarão	andarao
anjiu	anjiu
annó	anno
annual	annual
aojào	aojao
aolTrem	aoltrem
aorr-ciauecimcnto	aorr-ciauecimcnto
appro*	appro
aprehender	aprehender
apresentada	apresentada
armados	armados
arrúmem-se	arrumem-se
artig	artig
artig)	artig
artirmativa	artirmativa
assegurar-lhe	assegurar-lhe
assenta	assenta
assignadas	assignadas
atfirmar	atfirmar
athrmou	athrmou
atiypóihtse	atiypoihtse
atteu-çào	atteu-cao
attos-tados	attos-tados
aubtdo	aubtdo
ba-»e	ba-e
ba-r	ba-r
bacilb	bacilb
bagí	bagi
bCiios	bciios
bem*no	bemno
bisU»sem	bisusem
bronchilo	bronchilo
ca-valro	ca-valro
caao	caao
cadu	cadu
capacidade—a	capacidadea
caraclcrisado	caraclcrisado
cavall	cavall
cbügaria	cbugaria
çcla	ccla
ccnjectu-ras	ccnjectu-ras
cçôos	ccoos
cffeito	cffeito
çfio	cfio
chi-méras	chi-meras
circumalandas	circumalandas
civilisado	civilisado
cjvo	cjvo
clirfaJo	clirfajo
clTê	clte
çnhprnr	cnhprnr
cnmpu-zerem	cnmpu-zerem
cnusii	cnusii
coiiulia	coiiulia
collaboradores	collaboradores
comMgo	commgo
completamea-te	completamea-te
con-/	con-
con-du/ir	con-duir
con-fere	con-fere
con-trarit)	con-trarit
conbreiJoa	conbreijoa
condt-çõei	condt-coei
conh	conh
considertt	considertt
considoraçõ	considoraco
consjatação	consjatacao
consultadoa	consultadoa
consultavão	consultavao
convem	convem
conveui-	conveui-
convircão	convircao
cooacguir	cooacguir
coQsuha	coqsuha
corbiTíf^Wborato	corbitifwborato
corpo-	corpo-
correspondeneia	correspondeneia
corua	corua
creou	creou
cri-rr	cri-rr
crimí-	crimi-
criminô-	crimino-
criminoao	criminoao
ç^stas	cstas
cural-aa	cural-aa
czpedida	czpedida
dará	dara
dc-que	dc-que
dcclrtiaç	dcclrtiac
d’cntre	dcntre
debel-lar	debel-lar
deíicto	deiicto
