-------------------1	-------------------
deixio	deixio
de^lel^to	delelto
delidos	delidos
dellc	dellc
deposesse	deposesse
deram	deram
deria	deria
desembro	desembro
destri-Jbuições	destri-jbuicoes
destribuidas	destribuidas
determino-vos	determino-vos
deUcto	deucto
devendo-se	devendo-se
devris	devris
direi(o	direio
dirigida	dirigida
diser	diser
dividtram-se	dividtram-se
dizel-rfao	dizel-rfao
*d’3lina	dlina
doclara	doclara
docunier	docunier
doente	doente
drpoz	drpoz
duas	duas
duplicada	duplicada
ealqia	ealqia
eatranlfos	eatranlfos
e’c>r-po	ecr-po
edicções	ediccoes
editoriaes	editoriaes
èèrfo	eerfo
efepois	efepois
effectual-o	effectual-o
eflectuada	eflectuada
efTsctuada	eftsctuada
e^galho	egalho
ehtja^cousa	ehtjacousa
ellB	ellb
empobrecida	empobrecida
encia	encia
enconjrado	enconjrado
eníor-c»8o	enior-co
en)or	enor
entravão	entravao
epurada‘e	epuradae
equili-brando-se	equili-brando-se
equiparam-se	equiparam-se
erde	erde
erradamente	erradamente
esclarecida	esclarecida
es>encial	esencial
esjivera	esjivera
eslejão	eslejao
esperançai	esperancai
esphacelada	esphacelada
espúrio	espurio
etc	etc
euphemis-mos	euphemis-mos
excu-sart»m-*se	excu-sartm-se
exemplo—Gallilco	exemplogallilco
expressiva	expressiva
extrahido	extrahido
faih	faih
failánd	failand
fara	fara
fará	fara
fatal	fatal
fcilhur	fcilhur
feffer-9	feffer-
feitamente	feitamente
fficio	fficio
fido	fido
fiode	fiode
fixado	fixado
fleação	fleacao
flrmar	flrmar
forem	forem
form	form
fran-cez—com	fran-cezcom
fraterrudíiJe	fraterrudiije
ftesta	ftesta
fui3d	fuid
funcçôes	funccoes
fuuccionar	fuuccionar
fuzer	fuzer
geate	geate
glo-■ou	glo-ou
goáor	goaor
grati-|	grati-
gratifiraçfto	gratifiracfto
gratitlcaçao	gratitlcacao
gunta	gunta
haverá	havera
henderem	henderem
^hnaílKçíio	hnailkciio
hnnrà	hnnra
ho-micidrô	ho-micidro
hodierna	hodierna
homi-cidio/más	homi-cidiomas
houve	houve
ic-se	ic-se
iciencia	iciencia
içlo	iclo
idadâos	idadaos
idea	idea
ídjunto	idjunto
ignara	ignara
igualmente	igualmente
iipõí	iipoi
ijgenc	ijgenc
ilíou	iliou
illus-tre	illus-tre
im-pecidq	im-pecidq
imlmonto	imlmonto
immediata	immediata
immediats	immediats
imparcial	imparcial
in-•cdeitavel	in-cdeitavel
in-possivel	in-possivel
inacíitavel	inaciitavel
indepe	indepe
indicativo	indicativo
infeliz	infeliz
ingleza	ingleza
ínll	inll
innoa	innoa
inoeo	inoeo
inquerit)	inquerit
insinuadas	insinuadas
insut^is	insutis
intc	intc
intcreSsea	intcressea
interessea	interessea
intransi-gente	intransi-gente
ipqiicnto	ipqiicnto
itrento	itrento
iuui	iuui
iüuIv	iuuiv
ividadc-	ividadc-
izad	izad
jaxiiro	jaxiiro
jgnto	jgnto
jomados	jomados
j$ooo	jooo
jpbre	jpbre
jptçlligentg^que	jptclligentgque
jr--	jr--
jtblí-ça	jtbli-ca
judicial	judicial
junsdiçção	junsdiccao
jus-	jus-
«$lBronehí-t«i	lbronehi-ti
ldict<«	ldict
legae	legae
lei-	lei-
lhe-souraria	lhe-souraria
lhesouraria	lhesouraria
libejdadv	libejdadv
licenciadas	licenciadas
licyr	licyr
littera-rio	littera-rio
locaes	locaes
lOOSOUO	loosouo
lsrmou	lsrmou
l«tn-brei-mc	ltn-brei-mc
mar-radb	mar-radb
matar-se	matar-se
medie	medie
mesflo	mesflo
mmllA	mmlla
mnci/io	mnciio
mngistr	mngistr
mnitoa	mnitoa
moiea	moiea
moleatíos	moleatios
monarchista	monarchista
morie	morie
moro-curiim	moro-curiim
m«Qda	mqda
muitb	muitb
muitissimó	muitissimo
muitíssimo	muitissimo
mysteriosos	mysteriosos
n<»-dicamentoi	n-dicamentoi
naçlo	naclo
não—existência	naoexistencia
nâo*seriào	naoseriao
nasce	nasce
nâ>’se	nase
nã^v^le	navle
nccurrenlc	nccurrenlc
néjii	nejii
nfco	nfco
nfto	nfto
niliano	niliano
nlguma	nlguma
noém	noem
noiavol	noiavol
nono	nono
npplicar	npplicar
nsuita	nsuita
nuense	nuense
nxecuçío	nxecucio
o-per^çõ^s	o-percos
occa-sião	occa-siao
ocesso	ocesso
oDialmláaée	odialmlaaee
of-rteio	of-rteio
oferta-do	oferta-do
ofTerece]	ofterece
o/idc	oidc
oíficina	oificina
oificio	oificio
onje	onje
op-pnrelho	op-pnrelho
opin	opin
opulentissima	opulentissima
oridade	oridade
o\tarinheiro	otarinheiro
ousados	ousados
outre	outre
ouvío	ouvio
p-rmittião	p-rmittiao
pa-dendo	pa-dendo
pagarão	pagarao
paixães	paixaes
pari	pari
pasmando	pasmando
pcifl	pcifl
pefo	pefo
penhum	penhum
permanoncla	permanoncla
pes-sôa	pes-soa
p&itiífos	pitiifos
plena	plena
pleno	pleno
plMOPOS	plmopos
pnr-tic^r	pnr-ticr
poderem	poderem
podería	poderia
podia	podia
põem	poem
posso	posso
pouc	pouc
povu	povu
pparelho	pparelho
«ppruvAçflo	ppruvacflo
premlo	premlo
prendei*a	prendeia
prender	prender
prenderem	prenderem
prepotentes	prepotentes
prescrtifand^	prescrtifand
primeiraiuenle	primeiraiuenle
prirtcipe	prirtcipe
proce	proce
proCodimen-tocriminal	procodimen-tocriminal
proitarf	proitarf
pro^Jerem	projerem
promoioria	promoioria
prompta	prompta
provincial	provincial
provincta	provincta
psra	psra
psrte	psrte
publicados	publicados
pura	pura
qieema-tal-ost	qieema-tal-ost
qonsta	qonsta
qualiilpaçio	qualiilpacio
quand	quand
queglão	queglao
quererá	querera
querr	querr
quisêramos	quiseramos
qunntj	qunntj
quun-toyos	quun-toyos
raciojiiiio	raciojiiiio
radiculmente	radiculmente
raesm	raesm
rasão	rasao
rasoavel	rasoavel
ra^un	raun
rccebêra	rccebera
re-mottido	re-mottido
re-ponsavel	re-ponsavel
realébolecimeoto	realebolecimeoto
rebelde	rebelde
recomu	recomu
recorreir	recorreir
reder	reder
refindo	refindo
relatoru)	relatoru
requeridas	requeridas
resolve	resolve
respecjvos/x/íwj	respecjvosxiwj
respectivos	respectivos
respei-Ct	respei-ct
respiratório	respiratorio
resteas	resteas
rêtiecte	retiecte
reunidos	reunidos
riãilicção	riailiccao
rígido	rigido
rospoid^á	rospoida
rrfimuiençfio	rrfimuiencfio
rtrmar	rtrmar
rude	rude
sabe	sabe
sai-bão	sai-bao
saspeitas	saspeitas
sc-enêia	sc-eneia
scena	scena
scienci»	scienci
scindiram-se	scindiram-se
scrt>	scrt
sendo-Iho	sendo-iho
sendo-lhe	sendo-lhe
septenato	septenato
serl	serl
servisse	servisse
sfffpcil	sfffpcil
sido	sido
sígredo	sigredo
siquer	siquer
so-menu-	so-menu-
sobic	sobic
soiTta	soitta
solibtudu	solibtudu
somos	somos
sua’cogitação	suacogitacao
*su«cidou-se	sucidou-se
suicidar-se	suicidar-se
suppoodo	suppoodo
suppra	suppra
tadoal	tadoal
tario	tario
tçndo	tcndo
tdra	tdra
teis	teis
tel-o	tel-o
telegr	telegr
ten-tavi	ten-tavi
tenha	tenha
teohaes	teohaes
terào	terao
terço	terco
tereis	tereis
terem	terem
termoa	termoa
testemu-nta	testemu-nta
tivera	tivera
tivesse	tivesse
tizar	tizar
tlvuda	tlvuda
tm-bèbe	tm-bebe
tol-i	tol-i
tornnu-so	tornnu-so
tragão	tragao
transpor-1	transpor-
transportando-vòs	transportando-vos
transportar-se	transportar-se
trazem	trazem
trimes-treVTís	trimes-trevtis
triumphos	triumphos
trlguom	trlguom
u-soóie	u-sooie
uftirmoú	uftirmou
uioa	uioa
ul-tenor	ul-tenor
ultrages	ultrages
unti-ca-tharracR	unti-ca-tharracr
uuica	uuica
valcria	valcria
vale—não	valenao
valería	valeria
verdad	verdad
veremos	veremos
vidindo-se	vidindo-se
vimos	vimos
vinte	vinte
wfôra	wfora
wuégué-	wuegue-
